wins_life_expectancy,wins_infant_deaths,wins_alcohol,wins_measles,wins_bmi,wins_polio,wins_total_expenditure,wins_hiv_aids,wins_thinness_5_to_9_years,wins_schooling,status
65.0,46,0.01,786,19.1,51.0,8.16,0.1,15.4,10.1,1
59.9,46,0.01,492,18.6,58.0,8.18,0.1,15.4,10.0,1
59.9,46,0.01,430,18.1,62.0,8.13,0.1,15.4,9.9,1
59.5,46,0.01,786,17.6,67.0,8.52,0.1,15.4,9.8,1
59.2,46,0.01,786,17.2,68.0,7.87,0.1,15.4,9.5,1
58.8,46,0.01,786,16.7,66.0,9.2,0.1,15.4,9.2,1
58.6,46,0.01,786,16.2,63.0,9.42,0.1,15.4,8.9,1
58.1,46,0.03,786,15.7,64.0,8.33,0.1,15.4,8.7,1
57.5,46,0.02,786,15.2,63.0,6.73,0.1,15.4,8.4,1
57.3,46,0.03,786,14.7,58.0,7.43,0.1,15.4,8.1,1
57.3,46,0.02,786,14.2,58.0,8.7,0.1,15.4,7.9,1
57.0,46,0.02,466,13.8,51.0,8.79,0.1,15.4,6.8,1
56.7,46,0.01,786,13.4,51.0,8.82,0.1,15.4,6.5,1
56.2,46,0.01,786,13.0,51.0,7.76,0.1,2.2,6.2,1
55.3,46,0.01,786,12.6,51.0,7.8,0.1,2.4,5.9,1
54.8,46,0.01,786,12.2,51.0,8.2,0.1,2.5,5.5,1
77.8,0,4.6,0,58.0,99.0,6.0,0.1,1.3,14.2,1
77.5,0,4.51,0,57.2,98.0,5.88,0.1,1.3,14.2,1
77.2,0,4.76,0,56.5,99.0,5.66,0.1,1.4,14.2,1
76.9,0,5.14,9,55.8,99.0,5.59,0.1,1.4,14.2,1
76.6,0,5.37,28,55.1,99.0,5.71,0.1,1.5,13.3,1
76.2,1,5.28,10,54.3,99.0,5.34,0.1,1.5,12.5,1
76.1,1,5.79,0,53.5,98.0,5.79,0.1,1.6,12.2,1
75.3,1,5.61,0,52.6,99.0,5.87,0.1,1.6,12.0,1
75.9,1,5.58,22,51.7,99.0,6.1,0.1,1.7,11.6,1
74.2,1,5.31,68,5.8,97.0,5.86,0.1,1.8,11.4,1
